name
PERMISSION_DASHBOARD
PERMISSION_STAFFROLE
PERMISSION_STAFF
PERMISSION_MENUITEM
PERMISSION_TABLE
PERMISSION_BILL_VIEWONLY
PERMISSION_BILL_FULLACCESS
PERMISSION_ORDER_ADD_AND_CANCEL
PERMISSION_ORDER_CHECKOUT
PERMISSION_KITCHEN_PREPARING_ITEM
PERMISSION_KITCHEN_RTS_ITEM
